Date,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume,eth_Market Cap,btc_Open,btc_High,btc_Low,btc_Close,btc_Volume,btc_Market Cap,xrp_Open,xrp_High,xrp_Low,xrp_Close,xrp_Volume,xrp_Market Cap,xmr_Open,xmr_High,xmr_Low,xmr_Close,xmr_Volume,xmr_Market Cap,ltc_Open,ltc_High,ltc_Low,ltc_Close,ltc_Volume,ltc_Market Cap
2017-09-17,245.85,257.0,235.24,251.75,"427,452,000","23,272,500,000",3606.28,3664.81,3445.64,3582.88,"1,239,150,000","59,757,800,000",20.64,20.64,18.36,19.86,"18,695,100","1,031,920,000",94.97,96.36,89.22,93.74,"41,008,200","1,433,270,000",48.23,49.88,45.12,48.49,"245,262,000","2,554,450,000"
2017-09-16,250.87,262.59,238.22,246.52,"711,737,000","23,742,600,000",3637.75,3808.84,3487.79,3625.04,"1,818,400,000","60,271,600,000",18.75,22.98,18.5,20.76,"50,210,000","937,288,000",100.11,106.12,91.41,95.29,"71,163,500","1,510,430,000",48.13,52.83,46.46,48.26,"562,278,000","2,548,580,000"
2017-09-15,215.22,258.65,195.03,250.46,"1,935,700,000","20,364,900,000",3166.3,3733.45,2946.62,3637.52,"4,148,070,000","52,453,500,000",15.81,19.12,13.32,18.74,"50,811,700","790,612,000",83.13,103.69,73.17,99.85,"176,154,000","1,253,940,000",41.69,50.65,32.03,48.21,"1,554,340,000","2,206,520,000"
2017-09-14,276.59,280.84,213.91,213.91,"1,184,590,000","26,166,100,000",3875.37,3920.6,3153.86,3154.95,"2,716,310,000","64,191,600,000",20.08,20.75,14.95,15.69,"42,221,500","1,004,180,000",111.29,120.39,82.65,83.04,"133,553,000","1,678,110,000",61.64,62.43,41.25,41.58,"749,714,000","3,261,960,000"
2017-09-13,291.12,291.12,260.61,277.11,"921,692,000","27,535,700,000",4131.98,4131.98,3789.92,3882.59,"2,219,410,000","68,432,200,000",20.83,21.29,17.8,20.06,"37,258,400","1,041,450,000",111.81,113.16,102.39,111.33,"88,162,900","1,685,390,000",64.32,64.6,58.93,61.73,"501,522,000","3,402,820,000"
2017-09-12,294.63,311.19,287.23,291.46,"753,144,000","27,861,800,000",4168.88,4344.65,4085.22,4130.81,"1,864,530,000","69,033,400,000",21.87,23.6,19.86,20.97,"40,702,300","1,093,590,000",112.72,115.69,110.49,111.89,"40,402,700","1,698,640,000",66.24,70.25,63.86,64.23,"481,218,000","3,503,300,000"
2017-09-11,289.75,300.69,286.69,294.53,"571,307,000","27,394,400,000",4122.47,4261.67,4099.4,4161.27,"1,557,330,000","68,256,000,000",22.68,23.97,21.7,21.88,"27,835,300","1,133,790,000",113.05,116.24,110.47,112.75,"30,605,900","1,702,970,000",61.65,67.23,61.37,66.04,"412,076,000","3,259,510,000"
2017-09-10,294.06,294.76,268.97,288.75,"698,326,000","27,797,200,000",4229.34,4245.44,3951.04,4122.94,"1,679,090,000","70,018,100,000",21.76,23.64,19.37,22.75,"54,002,500","1,088,180,000",115.64,115.77,103.17,112.33,"50,725,200","1,741,490,000",65.8,65.95,57.06,61.61,"529,848,000","3,478,400,000"
2017-09-09,296.17,299.89,287.22,294.4,"528,621,000","27,990,500,000",4229.81,4308.82,4114.11,4226.06,"1,386,230,000","70,017,200,000",24.63,24.63,21.55,21.96,"47,199,500","1,231,580,000",118.19,119.73,113.17,116.27,"39,220,400","1,779,350,000",67.21,69.55,64.01,66.01,"467,895,000","3,551,950,000"
2017-09-08,329.64,329.64,285.16,296.5,"1,098,780,000","31,147,200,000",4605.16,4661.0,4075.18,4228.75,"2,700,890,000","76,220,200,000",30.59,30.59,22.41,24.86,"112,252,000","1,529,630,000",120.28,132.57,113.3,118.04,"159,066,000","1,810,210,000",78.45,80.13,63.83,67.79,"930,673,000","4,144,630,000"
2017-09-07,333.52,333.52,319.94,329.43,"718,624,000","31,507,500,000",4589.14,4655.04,4491.33,4599.88,"1,844,620,000","75,945,000,000",21.3,33.55,20.54,30.78,"214,001,000","1,065,110,000",121.39,124.76,116.6,120.84,"62,655,700","1,826,360,000",79.88,81.06,75.59,78.48,"526,829,000","4,218,690,000"
2017-09-06,313.8,334.66,313.49,334.34,"1,058,830,000","29,639,100,000",4376.59,4617.25,4376.59,4597.12,"2,172,100,000","72,418,700,000",22.97,24.32,20.3,21.36,"77,746,300","1,148,320,000",118.78,122.31,114.32,121.63,"64,604,400","1,786,650,000",71.78,80.64,71.51,80.11,"830,718,000","3,789,670,000"
2017-09-05,297.57,318.57,268.29,312.99,"1,551,050,000","28,100,000,000",4228.29,4427.84,3998.11,4376.53,"2,697,970,000","69,954,400,000",21.88,23.85,18.93,22.8,"91,402,300","1,093,860,000",106.75,122.63,95.81,118.82,"113,378,000","1,605,070,000",65.25,72.44,59.05,71.29,"1,016,090,000","3,444,150,000"
2017-09-04,347.13,347.13,279.94,295.17,"1,801,690,000","32,774,000,000",4591.63,4591.63,4108.4,4236.31,"2,987,330,000","75,955,500,000",30.44,30.44,17.4,21.83,"189,917,000","1,522,090,000",126.23,126.23,101.73,106.17,"89,194,700","1,897,480,000",76.73,76.73,61.24,65.21,"922,041,000","4,049,140,000"
2017-09-03,350.23,366.49,332.23,347.48,"986,266,000","33,059,800,000",4585.27,4714.08,4417.59,4582.96,"1,933,190,000","75,841,700,000",31.77,32.65,28.58,30.32,"43,232,300","1,588,690,000",124.93,129.29,115.74,126.01,"92,631,100","1,877,380,000",78.98,82.83,73.61,76.84,"675,462,000","4,166,600,000"
2017-09-02,387.82,389.35,328.1,348.98,"1,483,600,000","36,601,200,000",4901.42,4975.04,4469.24,4578.77,"2,722,140,000","81,060,600,000",31.69,34.81,28.55,31.72,"92,722,600","1,584,390,000",141.35,141.4,121.96,124.8,"128,849,000","2,123,430,000",85.83,92.07,72.23,79.02,"1,363,990,000","4,526,680,000"
2017-09-01,383.47,390.04,383.47,387.74,"874,222,000","36,182,900,000",4701.76,4892.01,4678.53,4892.01,"2,599,080,000","77,748,400,000",33.17,33.57,28.87,32.01,"75,418,900","1,658,680,000",140.65,150.09,136.49,141.2,"163,961,000","2,112,260,000",70.86,87.41,70.01,86.04,"1,551,740,000","3,735,870,000"
2017-08-31,378.44,386.14,376.35,383.04,"706,254,000","35,701,500,000",4555.59,4736.05,4549.4,4703.39,"1,944,930,000","75,322,300,000",32.93,35.09,32.6,33.16,"49,957,300","1,646,720,000",131.95,141.97,131.21,140.41,"131,974,000","1,980,860,000",64.16,72.28,64.04,71.06,"633,147,000","3,381,750,000"
